name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Joshua Malpass,117,23,134,396,35-39,38,CA,USA,---,2403,00:26:38,1.9 km,00:06:43,03:02:13,90.1 km,00:03:05,01:44:48,21.1 km,05:23:27
Ina A. Oestroem,18,2,135,147,18-24,27,---,BRA,---,3458,00:29:05,1.9 km,00:04:35,02:59:59,90.1 km,00:02:37,01:47:15,21.1 km,05:23:31
Cesar Camargo,118,20,136,524,25-29,---,---,PAN,---,2548,00:26:16,1.9 km,00:03:43,03:01:19,90.1 km,00:03:20,01:49:14,21.1 km,05:23:52
Jose Matos,119,24,137,397,35-39,40,---,PAN,---,2396,00:41:23,1.9 km,00:04:04,02:50:53,90.1 km,00:02:19,01:45:14,21.1 km,05:23:53
Jose Guitian,120,19,138,688,30-34,35,Intl State,PAN,---,2496,00:24:35,1.9 km,00:03:29,03:06:35,90.1 km,00:02:02,01:47:38,21.1 km,05:24:19
Raymond Levesque,123,1,141,197,60-64,65,QC,CAN,---,3500,00:30:59,1.9 km,00:03:59,02:51:49,90.1 km,00:02:51,01:55:01,21.1 km,05:24:39
Mario Perez Venero,124,25,142,638,35-39,40,panama,PAN,---,2362,00:29:16,1.9 km,00:04:40,02:49:25,90.1 km,00:02:55,01:59:28,21.1 km,05:25:44
Claudia Abreu,19,2,143,104,30-34,37,UT,VEN,---,3231,00:33:14,1.9 km,00:04:28,02:48:44,90.1 km,00:03:04,01:56:39,21.1 km,05:26:09
Ada Fandino,20,3,144,122,30-34,37,CA,VEN,---,3216,00:29:48,1.9 km,00:04:13,03:04:45,90.1 km,00:02:32,01:45:41,21.1 km,05:26:59
James Mcnaughton,125,26,145,400,35-39,40,ON,CAN,---,2335,00:29:46,1.9 km,00:05:26,02:52:15,90.1 km,00:03:20,01:56:28,21.1 km,05:27:15
Nilo Chaves Maia,126,27,146,395,35-39,38,---,BRA,---,2331,00:33:02,1.9 km,00:03:54,03:00:37,90.1 km,00:03:15,01:46:40,21.1 km,05:27:28
Erick Vasconcelos,127,25,148,328,40-44,45,CE,BRA,---,2436,00:28:20,1.9 km,00:04:02,02:48:00,90.1 km,00:03:22,02:04:09,21.1 km,05:27:53
Lucas Couto Matos,128,28,149,398,35-39,39,---,BRA,---,2312,00:33:50,1.9 km,00:05:42,02:47:57,90.1 km,00:03:25,01:57:38,21.1 km,05:28:32
Joshua Strozeski,129,29,150,431,35-39,39,VA,USA,---,2311,00:28:56,1.9 km,00:05:13,02:51:25,90.1 km,00:03:20,01:59:41,21.1 km,05:28:35
Ivan Jurado,130,26,151,293,40-44,44,Panama,PAN,---,2423,00:27:34,1.9 km,00:05:14,02:56:43,90.1 km,00:03:06,01:56:00,21.1 km,05:28:37
Jhon Betancur,131,27,152,255,40-44,43,ant,COL,---,2414,00:29:06,1.9 km,00:05:51,03:00:08,90.1 km,00:03:11,01:50:51,21.1 km,05:29:07
Mauricio Rodriguez,133,20,154,507,30-34,37,PANAMA,PAN,---,2400,00:33:58,1.9 km,00:04:32,02:55:22,90.1 km,00:03:19,01:52:30,21.1 km,05:29:41
Esteban Sanchez,134,21,155,510,30-34,---,---,CRI,---,2397,00:38:43,1.9 km,00:04:00,03:01:45,90.1 km,00:02:17,01:43:05,21.1 km,05:29:50
Olivier Millot,135,30,156,404,35-39,39,Intl State,FRA,---,2285,00:26:04,1.9 km,00:04:28,03:03:19,90.1 km,00:03:20,01:52:50,21.1 km,05:30:01
Patricia Barros,22,3,157,571,40-44,44,São Paulo,BRA,---,2874,00:24:50,1.9 km,00:03:22,03:04:55,90.1 km,00:02:42,01:54:49,21.1 km,05:30:38
Simon Roberts,136,6,158,224,50-54,52,ON,CAN,---,3074,00:32:26,1.9 km,00:04:54,02:42:09,90.1 km,00:03:43,02:07:56,21.1 km,05:31:08
Rodrigo Moreira,137,31,159,406,35-39,---,---,BRA,---,2263,00:28:01,1.9 km,00:05:19,02:55:40,90.1 km,00:03:11,01:59:03,21.1 km,05:31:14
